0 --- PC 405000 - targetPC 40c0e0 - local_pred [1, 0]
1 --- PC 408004 - targetPC 408074 - local_pred [1, 1]
2 --- PC 406008 - targetPC 40bd4c - local_pred [1, 1]
4 --- PC 405010 - targetPC 40c0e0 - local_pred [1, 0]
8 --- PC 40c020 - targetPC 40f4b0 - local_pred [1, 1]
9 --- PC 408024 - targetPC 4080b8 - local_pred [1, 1]
10 --- PC 40c028 - targetPC 40c044 - local_pred [0, 0]
11 --- PC 40502c - targetPC 40c0e0 - local_pred [1, 0]
12 --- PC 411030 - targetPC 41103c - local_pred [1, 1]
14 --- PC 404038 - targetPC 404518 - local_pred [1, 1]
15 --- PC 40b03c - targetPC 40b048 - local_pred [1, 1]
16 --- PC 405040 - targetPC 40b4d8 - local_pred [1, 0]
18 --- PC 405048 - targetPC 40c0e0 - local_pred [1, 0]
19 --- PC 41104c - targetPC 40f280 - local_pred [1, 1]
20 --- PC 406050 - targetPC 406060 - local_pred [0, 0]
21 --- PC 40c054 - targetPC 40bff8 - local_pred [1, 1]
22 --- PC 405058 - targetPC 40c0e0 - local_pred [1, 0]
23 --- PC 40605c - targetPC 40606c - local_pred [1, 1]
24 --- PC 40b060 - targetPC 40af4c - local_pred [1, 1]
25 --- PC 404064 - targetPC 404074 - local_pred [1, 1]
26 --- PC 405068 - targetPC 40c0e0 - local_pred [1, 0]
28 --- PC 40a070 - targetPC 40b494 - local_pred [1, 1]
29 --- PC 405074 - targetPC 40c0e0 - local_pred [1, 0]
30 --- PC 40a078 - targetPC 40a09c - local_pred [1, 1]
31 --- PC 40607c - targetPC 406098 - local_pred [1, 1]
32 --- PC 405080 - targetPC 40c0e0 - local_pred [1, 0]
33 --- PC 40c084 - targetPC 402d30 - local_pred [1, 1]
36 --- PC 405090 - targetPC 40c0e0 - local_pred [1, 0]
37 --- PC 406094 - targetPC 406044 - local_pred [1, 1]
38 --- PC 404098 - targetPC 4040b8 - local_pred [1, 1]
39 --- PC 40609c - targetPC 4060c4 - local_pred [1, 1]
40 --- PC 40a0a0 - targetPC 402f0c - local_pred [1, 1]
42 --- PC 40b0a8 - targetPC 40b0e8 - local_pred [1, 1]
44 --- PC 40b0b0 - targetPC 4051ec - local_pred [1, 1]
45 --- PC 4050b4 - targetPC 40c0e0 - local_pred [1, 0]
46 --- PC 40b0b8 - targetPC 4053b0 - local_pred [1, 1]
47 --- PC 4040bc - targetPC 40c170 - local_pred [1, 1]
49 --- PC 4080c4 - targetPC 4082d8 - local_pred [1, 1]
50 --- PC 40a0c8 - targetPC 40e640 - local_pred [1, 0]
51 --- PC 4060cc - targetPC 405c30 - local_pred [1, 1]
53 --- PC 40a0d4 - targetPC 4057cc - local_pred [1, 0]
54 --- PC 4050d8 - targetPC 40c0e0 - local_pred [1, 0]
55 --- PC 4040dc - targetPC 404150 - local_pred [1, 1]
56 --- PC 40b0e0 - targetPC 40b0ac - local_pred [0, 0]
58 --- PC 40a0e8 - targetPC 40a0fc - local_pred [1, 0]
59 --- PC 4060ec - targetPC 40b9a0 - local_pred [1, 1]
62 --- PC 4060f8 - targetPC 40bd4c - local_pred [1, 1]
63 --- PC 40c0fc - targetPC 4051c0 - local_pred [1, 1]
64 --- PC 405100 - targetPC 40c0e0 - local_pred [1, 0]
65 --- PC 404104 - targetPC 404114 - local_pred [1, 1]
66 --- PC 406108 - targetPC 402cc0 - local_pred [1, 1]
67 --- PC 40c10c - targetPC 40c124 - local_pred [0, 0]
68 --- PC 40a110 - targetPC 405800 - local_pred [1, 0]
69 --- PC 405114 - targetPC 40c0e0 - local_pred [1, 0]
70 --- PC 403118 - targetPC 40314c - local_pred [1, 0]
72 --- PC 403120 - targetPC 403238 - local_pred [1, 0]
74 --- PC 405128 - targetPC 40c0e0 - local_pred [1, 0]
75 --- PC 40c12c - targetPC 402e6c - local_pred [1, 1]
76 --- PC 403130 - targetPC 40314c - local_pred [1, 1]
78 --- PC 40a138 - targetPC 40a1c8 - local_pred [1, 0]
79 --- PC 40613c - targetPC 404518 - local_pred [1, 1]
80 --- PC 405140 - targetPC 40c0e0 - local_pred [1, 0]
82 --- PC 40c148 - targetPC 40c154 - local_pred [1, 1]
83 --- PC 40414c - targetPC 403d78 - local_pred [1, 1]
84 --- PC 40c150 - targetPC 40c160 - local_pred [1, 1]
85 --- PC 40a154 - targetPC 40a164 - local_pred [1, 1]
86 --- PC 406158 - targetPC 40b9a0 - local_pred [1, 1]
87 --- PC 40515c - targetPC 40c0e0 - local_pred [1, 0]
89 --- PC 406164 - targetPC 402d00 - local_pred [1, 1]
90 --- PC 405168 - targetPC 40c0e0 - local_pred [1, 0]
91 --- PC 40616c - targetPC 406178 - local_pred [0, 1]
92 --- PC 40a170 - targetPC 40a1c8 - local_pred [1, 1]
93 --- PC 406174 - targetPC 40617c - local_pred [1, 1]
94 --- PC 403178 - targetPC 402d14 - local_pred [1, 1]
95 --- PC 40c17c - targetPC 402d30 - local_pred [1, 1]
96 --- PC 405180 - targetPC 40c0e0 - local_pred [1, 0]
98 --- PC 406188 - targetPC 406154 - local_pred [0, 0]
99 --- PC 40c18c - targetPC 4040c0 - local_pred [1, 1]
101 --- PC 403194 - targetPC 40eaa0 - local_pred [1, 1]
102 --- PC 405198 - targetPC 40c0e0 - local_pred [1, 0]
103 --- PC 40419c - targetPC 4044d0 - local_pred [1, 1]
104 --- PC 40b1a0 - targetPC 40b1a8 - local_pred [1, 1]
